vial_id,cruise,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,maturity,mid_latitude,mid_longitude,gis_station,bottom_depth,gear_temperature,start_date,sample_region,lme,DWT_WWT,Perc_DWT,WWT_DWT,year
2019-34,201901,94,166,2,50.14,0,42.1,0.5384,0.0816,0,60.6571,-171.43228,R-22,63,2.2,7182019,4,EBS,0.15156017830609214,15.156017830609214,6.598039215686274,2019
2019-35,201901,94,167,2,53.3,0,49.4,0.5104,0.0869,0,60.99637,-171.47555,S-22,60,2.1,7182019,4,EBS,0.1702586206896552,17.02586206896552,5.873417721518987,2019
2019-36,201901,94,167,2,50.64,0,42.2,0.8331,0.0858,0,60.99637,-171.47555,S-22,60,2.1,7182019,4,EBS,0.10298883687432482,10.298883687432483,9.709790209790208,2019
2019-37,201901,94,167,2,50.51,0,41.4,0.5345,0.0917,0,60.99637,-171.47555,S-22,60,2.1,7182019,4,EBS,0.1715622076707203,17.156220767072032,5.8287895310796065,2019
2019-38,201901,94,168,2,54.81,0,53.1,0.8248,0.2438,0,61.00078,-172.16231,S-23,64,1.9,7192019,4,EBS,0.29558680892337535,29.558680892337534,3.3831009023789993,2019
2019-39,201901,94,168,2,52.41,0,46.9,1.1113,0.1653,0,61.00078,-172.16231,S-23,64,1.9,7192019,4,EBS,0.14874471339872222,14.874471339872223,6.722928009679371,2019
2019-40,201901,94,168,2,50.19,0,43.6,0.7065,0.1169,0,61.00078,-172.16231,S-23,64,1.9,7192019,4,EBS,0.16546355272469923,16.546355272469924,6.043627031650984,2019
2019-48,201902,94,1,2,47.83,0,37.5,0.5121,0.1211,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.2364772505370045,23.647725053700448,4.2287365813377376,2019
2019-49,201902,94,1,2,51.55,0,47.7,0.5915,0.1787,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.30211327134404053,30.211327134404055,3.310016787912703,2019
2019-50,201902,94,1,2,51.45,0,43,0.6835,0.1733,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.25354791514264813,25.354791514264814,3.9440276976341604,2019
2019-51,201902,94,1,2,49.08,0,39.6,0.4733,0.1323,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.27952672723431227,27.952672723431228,3.5774754346182918,2019
2019-52,201902,94,1,2,48.59,0,38.4,0.5756,0.1024,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.17790132036136205,17.790132036136207,5.62109375,2019
2019-53,201902,94,1,2,43.24,0,28,0.6297,0.2076,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.32968080038113384,32.968080038113385,3.0332369942196533,2019
2019-54,201902,94,1,2,49.9,0,39.3,0.5319,0.1521,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.2859560067681895,28.59560067681895,3.497041420118343,2019
2019-55,201902,94,1,2,48.16,0,38.9,0.5616,0.2141,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.38123219373219375,38.12321937321938,2.6230733302195235,2019
2019-56,201902,94,1,2,50.22,0,40.1,0.6405,0.13,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.20296643247462923,20.296643247462924,4.926923076923076,2019
2019-57,201902,94,1,2,52.24,0,44.8,0.5479,0.1462,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.2668370140536594,26.68370140536594,3.7476060191518474,2019
2019-58,201902,94,1,2,42.88,0,24.8,0.5981,0.1333,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.22287242935963889,22.28724293596389,4.486871717929482,2019
2019-59,201902,94,1,2,51.3,0,45.1,0.5809,0.1474,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.25374419004992255,25.374419004992255,3.940976933514247,2019
2019-60,201902,94,1,2,56.04,0,56.1,0.784,0.2323,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.29630102040816325,29.630102040816325,3.374946190271201,2019
2019-61,201902,94,1,2,51.76,0,44.5,0.5409,0.1504,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.2780550933629137,27.80550933629137,3.596409574468085,2019
2019-62,201902,162,1,2,53.71,0,47.3,0.5562,0.1544,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.2775979863358504,27.759798633585042,3.6023316062176165,2019
2019-65,201901,162,178,2,74.64,0,135.1,0.9321,0.3187,0,59.65589,-177.1321,O-31,176,3.3,7232019,5,EBS,0.34191610342237955,34.19161034223796,2.9246940696579857,2019
